id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,83,3,188,2025-06-04,1.05,4,146,27,VT-41540-V
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,Cpi Gestión Encuentra Tu Mansión,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,463,10,1,2013-07-02,0.01,5,30,0,VT32745V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,315,2,299,2025-06-16,1.77,1,277,40,ESFCTU000046025000580569000000000000000000VT-36469-V8
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,109,5,563,2025-06-04,3.32,7,29,44,VT-32757-V
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,1800,3,9,2025-03-17,0.07,1,360,1,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,119,10,185,2025-06-09,1.22,4,78,27,
193326,Habitación balcón cerca de playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,51,11,373,2025-06-11,2.24,3,227,53,
225070,Habitación cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,50,11,264,2025-06-09,1.60,3,208,40,
253764,Sea view apartment with terrace at Cabanyal beach,1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,357,3,69,2024-12-02,0.43,2,28,11,VT 33846 V
260929,Queen size bed & private bathroom by Miguel Inn,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,51,2,157,2025-01-04,1.06,3,44,27,
260935,"Double room, shared bathroom, good water",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,41,2,475,2025-01-05,3.00,3,60,12,
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,481,3,144,2025-06-16,0.91,6,288,21,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38,2,0,,,1,323,0,
288057,Charming Studio in the city center,1497590,David,LA SAIDIA,MORVEDRE,39.48367,-0.37377,Entire home/apt,106,4,156,2025-06-05,1.15,3,84,23,VT-36795-V
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47328,-0.38588,Entire home/apt,80,14,206,2025-05-15,1.36,1,173,9,Comunidad Valenciana VT-36615-V.  Temporada ESFCNT00004606300024833100000000000000000000000000009.  Turistico        ESFCTU000046063000248331000000000000000000VT-36615-V9
313137,Apartamento centro de Valencia.,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46359,-0.37359,Entire home/apt,75,14,78,2025-04-19,0.55,1,180,6,VT-42188-V
323609,"Beach Villa,  patio and bbq. Cabanyal",1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,292,2,45,2025-06-02,0.29,2,43,14,VT 33844 V
346695,Apartment in the historic center  WiFi,1757298,Juan José,CIUTAT VELLA,EL CARME,39.47917,-0.377,Entire home/apt,95,2,676,2025-06-16,4.19,1,231,67,VT-36506-V
